황동혁, 오징어 게임, 2021
이정효, 사랑의 불시착, 2019
이응복, 미스터션샤인, 2018
유인식, 이상한 변호사 우영우, 2022
전기상, 꽃보다 남자, 2009
표민수, 아이리스2, 2013
김형식, 슈룹, 2022
